State,"Total 1979 - 1981","Total 1989 - 1991","Male Total 1989 - 1991","Male White 1989 - 1991","Male Black 1989 - 1991","Female Total 1989 - 1991","Female White 1989 - 1991","Female Black 1989 - 1991"
Alabama,72.53,73.64,69.59,71.12,64.37,77.61,78.85,73.76
Alaska,72.24,74.83,71.60,72.82,(B),78.60,79.40,(B)
Arizona,74.30,76.10,72.66,73.04,67.20,79.58,79.84,74.90
Arkansas,73.72,74.33,70.54,71.54,64.03,78.13,78.89,73.58
California,74.57,75.86,72.53,72.61,65.43,79.19,79.26,74.07
Colorado,75.30,76.96,73.79,73.88,68.96,80.01,80.13,75.89
Connecticut,75.12,76.91,73.62,74.25,66.04,79.97,80.37,75.44
Delaware,73.21,74.76,71.63,72.75,65.51,77.74,78.62,72.91
District of Columbia,69.20,67.99,61.97,71.36,57.53,74.23,81.06,71.61
Florida,74.00,75.84,72.10,73.19,64.26,79.60,80.46,73.28
Georgia,72.22,73.61,69.65,71.46,63.98,77.46,78.94,73.34
Hawaii,77.02,78.21,75.37,75.12,(B),81.26,81.09,(B)
Idaho,75.19,76.88,73.88,73.90,(B),79.93,79.93,(B)
Illinois,73.37,74.90,71.34,72.83,62.41,78.31,79.33,72.39
Indiana,73.84,75.39,71.99,72.44,65.87,78.62,79.03,73.56
Iowa,75.81,77.29,73.89,73.98,(B),80.54,80.62,(B)
Kansas,75.31,76.76,73.40,73.72,67.48,79.99,80.25,75.04
Kentucky,73.06,74.37,70.72,71.01,66.06,77.97,78.24,74.13
Louisiana,71.74,73.05,69.10,71.15,63.84,76.93,78.54,73.16
Maine,74.59,76.35,72.98,72.98,(B),79.61,79.61,(B)
Maryland,73.32,74.79,71.31,73.20,64.99,78.13,79.23,74.31
Massachusetts,75.01,76.72,73.32,73.54,68.17,79.80,79.95,76.50
Michigan,73.67,75.04,71.71,73.06,63.68,78.24,79.14,73.18
Minnesota,76.15,77.76,74.53,74.78,(B),80.85,81.02,(B)
Mississippi,71.98,73.03,68.90,70.74,64.66,77.10,78.82,73.82
Missouri,73.84,75.25,71.54,72.43,63.87,78.82,79.48,73.52
Montana,73.93,76.23,73.05,73.59,(B),79.49,79.92,(B)
Nebraska,75.49,76.92,73.57,73.87,(B),80.17,80.44,(B)
Nevada,72.64,74.18,70.96,71.26,(B),77.76,77.99,(B)
New Hampshire,74.98,76.72,73.52,73.48,(B),79.77,79.74,(B)
New Jersey,74.00,75.42,72.16,73.37,63.87,78.49,79.34,72.88
New Mexico,74.01,75.74,72.20,72.66,(B),79.33,79.53,(B)
New York,73.70,74.68,70.86,72.01,63.86,78.32,79.03,74.35
North Carolina,72.96,74.48,70.58,72.21,64.38,78.27,79.44,74.24
North Dakota,75.71,77.62,74.35,74.74,(B),80.99,81.32,(B)
Ohio,73.49,75.32,71.99,72.70,65.80,78.45,78.95,74.29
Oklahoma,73.67,75.10,71.63,71.76,67.10,78.49,78.59,74.48
Oregon,74.99,76.44,73.21,73.28,(B),79.67,79.73,(B)
Pennsylvania,73.58,75.38,71.91,72.81,63.33,78.66,79.28,73.02
Rhode Island,74.76,76.54,73.00,73.31,(B),79.77,79.97,(B)
South Carolina,71.85,73.51,69.59,71.62,64.07,77.34,78.97,73.35
South Dakota,74.97,76.91,73.17,74.30,(B),80.77,81.59,(B)
Tennessee,73.30,74.32,70.38,71.38,64.41,78.18,79.10,73.24
Texas,73.64,75.14,71.41,72.08,65.36,78.87,79.42,74.23
Utah,75.76,77.70,74.93,75.00,(B),80.38,80.44,(B)
Vermont,74.79,76.54,73.29,73.25,(B),79.68,79.65,(B)
Virginia,73.43,75.22,71.77,73.04,65.75,78.56,79.48,74.37
Washington,75.13,76.82,73.84,73.97,67.91,79.74,79.81,75.58
West Virginia,72.84,74.26,70.53,70.66,65.00,77.93,78.02,74.36
Wisconsin,75.35,76.87,73.61,73.99,66.42,80.03,80.27,75.27
Wyoming,73.85,76.21,73.16,73.27,(B),79.29,79.46,(B)
